,Water type,Membranes,CEM,AEM,Cell pairs,Membrane length(cm),Membrane width(cm),CEM_thickness,AEM_thickness,CEM areal resistance,r-1/c coef,AEM areal resistance,,Flow channel length(cm),Flow channel width(cm),Flow channel thickness(cm),Measured effective area (cm2),eff L coef,L_eff,W_eff,"Voltage, v","Current, A","Current density, mA/cm2",Water Recovery (%),flow rate (LPM),t_Na,t_Ca,t_Mg,Feed Na (mol/L),Feed K (mol/L),Feed Mg (mol/L),Feed Ca (mol/L),Dilute Na (mol/L),Dilute K (mol/L),Dilute Mg (mol/L),Dilute Ca (mol/L)
Number ID,wt,memb,cem,aem,cpn,Lmemb,Wmemb,Dcem,Daem,r_cem,k_cem,r_aem,k_aem,Lfl,Wfl,Dfl,Aeff,Lcof,Leff,Weff,Volt,Curr,CurrD,wr,fl,tNa,tCa,tMg,CfNa,CfK,CfMg,CfCa,CpNa,CpK,CpMg,CpCa
0,na,na,na,na,na,cm,cm,m,m,ohm m2,ohm mol m-1,ohm m2,ohm mol m-1,cm,cm,cm,cm,1,cm,cm,V ,A,mAcm-2,1,lmin-1,1,1,1,molL-1,molL-1,molL-1,molL-1,molL-1,molL-1,molL-1,molL-1
15,Groudwater,Selective,CR671,AR112B,10,25.4,22.86,5.70E-04,6.35E-04,1.00E-03,0.0027,2.20E-03,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,8,0.49,2.2,0.5,1.5,0.799386339,0.159394802,0.041218859,0.032478261,0.000538462,0.001875,0.00455,0.03107036,0.00049095,0.001838702,0.004409635
16,Groudwater,Selective,CR671,AR112B,10,25.4,22.86,5.70E-04,6.35E-04,1.00E-03,0.0027,2.20E-03,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,10,0.73,3.3,0.5,1.5,0.723204948,0.210094974,0.066700078,0.032478261,0.000538462,0.001875,0.00455,0.030009681,0.000469658,0.001761163,0.004191432
17,Groudwater,Selective,CR671,AR112B,10,25.4,22.86,5.70E-04,6.35E-04,1.00E-03,0.0027,2.20E-03,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,14,1.34,6.1,0.5,1.5,0.68566069,0.237528812,0.076810498,0.032478261,0.000538462,0.001875,0.00455,0.02867758,0.000443471,0.001662116,0.003891678
18,Groudwater,Selective,CR671,AR112B,10,25.4,22.86,5.70E-04,6.35E-04,1.00E-03,0.0027,2.20E-03,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,16,1.63,7.4,0.5,1.5,0.67857455,0.24089401,0.08053144,0.032478261,0.000538462,0.001875,0.00455,0.028133064,0.000433747,0.001617162,0.003778727
19,Groudwater,normal,CR67,AR204,10,25.4,22.86,5.70E-04,5.00E-04,6.00E-04,0.0101,5.80E-04,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,6,0.78,3.5,0.5,1.5,0.665954818,0.266175315,0.067869867,0.032173913,0.000487179,0.001875,0.00455,0.030128157,0.000456895,0.001770755,0.004141166
20,Groudwater,normal,CR67,AR204,10,25.4,22.86,5.70E-04,5.00E-04,6.00E-04,0.0101,5.80E-04,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,8,1.38,6.3,0.5,1.5,0.780546154,0.179527199,0.039926647,0.032173913,0.000487179,0.001875,0.00455,0.028210005,0.000525187,0.001773619,0.004094147
21,Groudwater,normal,CR67,AR204,10,25.4,22.86,5.70E-04,5.00E-04,6.00E-04,0.0101,5.80E-04,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,10,1.95,8.9,0.5,1.5,0.832850212,0.13590724,0.031242548,0.032173913,0.000487179,0.001875,0.00455,0.026274219,0.000485778,0.001764343,0.004068634
22,Groudwater,normal,CR67,AR204,10,25.4,22.86,5.70E-04,5.00E-04,6.00E-04,0.0101,5.80E-04,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,14,3.08,14,0.5,1.5,0.835552807,0.1290737,0.035373493,0.032173913,0.000487179,0.001875,0.00455,0.022298122,0.000418091,0.001665952,0.003787209
23,Groudwater,normal,CR67,AR204,10,25.4,22.86,5.70E-04,5.00E-04,6.00E-04,0.0101,5.80E-04,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,16,3.62,16.5,0.5,1.5,0.815571708,0.14231002,0.042118273,0.032173913,0.000487179,0.001875,0.00455,0.021063943,0.000414292,0.001588126,0.003580704
24,Groudwater,normal,CR67,AR204,10,25.4,22.86,5.70E-04,5.00E-04,6.00E-04,0.0101,5.80E-04,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,20,4.5,20.5,0.5,1.5,0.76456697,0.181051816,0.054381213,0.032173913,0.000487179,0.001875,0.00455,0.019116437,0.000376667,0.001410632,0.003003975
25,Groudwater,normal,CR67,AR204,10,25.4,22.86,5.70E-04,5.00E-04,6.00E-04,0.0101,5.80E-04,0.03,54,5.4,0.076,220,0.754458162,40.74074074,4.074074074,24,5.39,24.5,0.5,1.5,0.720052075,0.228147259,0.051800666,0.032173913,0.000487179,0.001875,0.00455,0.017786099,0.000362737,0.001357469,0.002270623
